Beta C_T^* C_Q^*
3.535385604596870124e+00 -8.433952615975005840e-02 -2.185715995528153890e-02
3.552887513530517793e+00 -7.273937528895932370e-02 -1.914527872691774990e-02
3.570389422464165463e+00 -6.050496840796888709e-02 -1.660944398512115283e-02
3.587891331397813577e+00 -4.794694509978910529e-02 -1.422089022211616045e-02
3.605393240331461246e+00 -3.543107167312744415e-02 -1.190865256812971042e-02
3.622895149265109360e+00 -2.328596391662959147e-02 -9.577979198369546837e-03
3.640397058198757030e+00 -1.171611671031190169e-02 -7.135255097543172394e-03
3.657898967132405144e+00 -7.429305117117124355e-04 -4.512988193739453195e-03
3.675400876066052813e+00 9.809843897561770082e-03 -1.688187656960018134e-03
3.692902784999700927e+00 2.028068937149892989e-02 1.310979623838250032e-03
3.710404693933348597e+00 3.109217320463599984e-02 4.412385373979489309e-03
3.727906602866996710e+00 4.264870992201395122e-02 7.519458507047090644e-03
3.745408511800644380e+00 5.523582797477033512e-02 1.053811587842984863e-02
3.762910420734292050e+00 6.894700740191674060e-02 1.340402037495005798e-02
3.780412329667940163e+00 8.365779243548218669e-02 1.610274528231767088e-02
3.797914238601587833e+00 9.905512081987279116e-02 1.867708791726603590e-02
3.815416147535235947e+00 1.147155778073317145e-01 2.121906594311047389e-02
3.832918056468883616e+00 1.302132658844245006e-01 2.384821613766682433e-02
3.850419965402531730e+00 1.452296737133461357e-01 2.668161673523941624e-02
3.867921874336179400e+00 1.596366875795109108e-01 2.980352246521231901e-02
3.885423783269827513e+00 1.735302715912630245e-01 3.324290676787739623e-02
3.902925692203475183e+00 1.872048927206187707e-01 3.696535058885535435e-02
3.920427601137123297e+00 2.010743350397401208e-01 4.088201275892352354e-02
3.937929510070770966e+00 2.155590753237056623e-01 4.487379862251150014e-02
3.955431419004418636e+00 2.309699611426709598e-01 4.882453975244455818e-02
3.972933327938066750e+00 2.474198138679962744e-01 5.265420824647428638e-02
3.990435236871714419e+00 2.647880019692947506e-01 5.634275672432169368e-02
4.007937145805362533e+00 2.827494563125959592e-01 5.993733727653502430e-02
4.025439054739010203e+00 3.008624139795827990e-01 6.353994693585450493e-02
4.042940963672657873e+00 3.186928586703417499e-01 6.727790224160719312e-02
4.060442872606306430e+00 3.359425960214282858e-01 7.126454125757507307e-02
4.077944781539954100e+00 3.525453508233520883e-01 7.556078845726055260e-02
4.095446690473601770e+00 3.687022636962868360e-01 8.014869944250126166e-02
4.112948599407249439e+00 3.848432679488976715e-01 8.492552796341168442e-02
4.130450508340897109e+00 4.015203956788334083e-01 8.972174360563640871e-02
4.147952417274545667e+00 4.192580970027299236e-01 9.434001482655300641e-02
4.165454326208193336e+00 4.383990612964314693e-01 9.860612858209717724e-02
4.182956235141841006e+00 4.589879384858309153e-01 1.024188182921473983e-01
4.200458144075488676e+00 4.807281970398605830e-01 1.057847428287259917e-01
4.217960053009137233e+00 5.030303506443104533e-01 1.088278227944121102e-01
4.235461961942784903e+00 5.251467768708379946e-01 1.117682518783562062e-01
4.252963870876432573e+00 5.463649237809042880e-01 1.148743345784253023e-01
4.270465779810080242e+00 5.662128412977033287e-01 1.183978748826310101e-01
4.287967688743728800e+00 5.846235745716471532e-01 1.225091069032295255e-01
4.305469597677376470e+00 6.020105342775748936e-01 1.272485447105280998e-01
4.322971506611024139e+00 6.192239279285230991e-01 1.325099804356735800e-01
4.340473415544671809e+00 6.373850230392422711e-01 1.380616729272844123e-01
4.357975324478319479e+00 6.576244346320342382e-01 1.436031343537981508e-01
4.375477233411968037e+00 6.807758649985521382e-01 1.488451808092033368e-01
4.392979142345615706e+00 7.070915530719105169e-01 1.535935995374150265e-01
4.410481051279263376e+00 7.360461108904396976e-01 1.578139855986278317e-01
4.427982960212911046e+00 7.662806681854263946e-01 1.616580880404963338e-01
4.445484869146559603e+00 7.957120510100835764e-01 1.654401028061191214e-01
4.462986778080207273e+00 8.217977719062702358e-01 1.695631146199415018e-01
4.480488687013854943e+00 8.419142784017408232e-01 1.744086453221250776e-01
4.497990595947502612e+00 8.537805775285478571e-01 1.802129061333545279e-01
4.515492504881150282e+00 8.558477324131594788e-01 1.869590900388991839e-01
4.532994413814798840e+00 8.475795296518437993e-01 1.943141178731435659e-01
4.550496322748446509e+00 8.295699471167621297e-01 2.016304226383135723e-01
4.567998231682094179e+00 8.034746086099437967e-01 2.080200312069241941e-01
4.585500140615741849e+00 7.717694685023827050e-01 2.124921887022970801e-01
4.603002049549390406e+00 7.373829001198082267e-01 2.141306658499566029e-01
4.620503958483038076e+00 7.032703440355088098e-01 2.122762559819051376e-01
4.638005867416685746e+00 6.720091775134738876e-01 2.066764860467183162e-01
4.655507776350333415e+00 6.454841950217153901e-01 1.975693648863160734e-01
4.673009685283981085e+00 6.247131574980252511e-01 1.856803317872531556e-01
4.690511594217629643e+00 6.098322177874994088e-01 1.721289513844666275e-01
4.708013503151277312e+00 6.002292334661946116e-01 1.582606038324750608e-01
4.725515412084924982e+00 5.947857252749565449e-01 1.454343242771462541e-01
4.743017321018572652e+00 5.921708682416849667e-01 1.348074833092363922e-01
4.760519229952221210e+00 5.911263110553695022e-01 1.271589783359437231e-01
4.778021138885868879e+00 5.906887808803393813e-01 1.227847312785780853e-01
4.795523047819516549e+00 5.903155951571245064e-01 1.214842506457456811e-01
4.813024956753164219e+00 5.899016924309602450e-01 1.226381141071033326e-01
4.830526865686812776e+00 5.897001825278606058e-01 1.253576181861610073e-01
4.848028774620460446e+00 5.901767785293758894e-01 1.286735908995470801e-01
4.865530683554108116e+00 5.918384327352380625e-01 1.317245201857501491e-01
4.883032592487755785e+00 5.950768338362639742e-01 1.339060613837632085e-01
4.900534501421403455e+00 6.000591290084857921e-01 1.349540067847242453e-01
4.918036410355052013e+00 6.066840814628624567e-01 1.349484739080412943e-01
4.935538319288699682e+00 6.146055965243087948e-01 1.342447259463366294e-01
4.953040228222347352e+00 6.233109055092733719e-01 1.333516607577746038e-01
4.970542137155995022e+00 6.322306208373746905e-01 1.327891636227719607e-01
4.988044046089643579e+00 6.408539197456870617e-01 1.329581465572624577e-01
5.005545955023291249e+00 6.488242763464731055e-01 1.340519283288069130e-01
5.023047863956938919e+00 6.559981014883530248e-01 1.360261869081533792e-01
5.040549772890586588e+00 6.624581850590505194e-01 1.386299697855304380e-01
5.058051681824234258e+00 6.684835698435733775e-01 1.414857598983303433e-01
5.075553590757882816e+00 6.744853922565113846e-01 1.441957348359411972e-01
5.093055499691530486e+00 6.809230446940894854e-01 1.464464930494501771e-01
5.110557408625178155e+00 6.882164018790242199e-01 1.480864995728932432e-01
5.128059317558825825e+00 6.966682697475861108e-01 1.491585107050721060e-01
5.145561226492474383e+00 7.064076358034827585e-01 1.498810607648654314e-01
5.163063135426122052e+00 7.173598535332297299e-01 1.505857161500572527e-01
5.180565044359769722e+00 7.292455432941628013e-01 1.516271587441634650e-01
5.198066953293417392e+00 7.416063415918674462e-01 1.532888841734912355e-01
5.215568862227065949e+00 7.538528912148489969e-01 1.557072590750630259e-01
5.233070771160713619e+00 7.653285611820317413e-01 1.588311964718533420e-01
5.250572680094361289e+00 7.753811367693937973e-01 1.624254039070613109e-01
5.268074589028008958e+00 7.834340128883988674e-01 1.661145000309408593e-01
5.285576497961656628e+00 7.890483111957976581e-01 1.694559386729827810e-01
5.303078406895305186e+00 7.919680259563394165e-01 1.720238085763954594e-01
5.320580315828952855e+00 7.921420232242502024e-01 1.734843870702795499e-01
5.338082224762600525e+00 7.897195737412312511e-01 1.736477815428038585e-01
5.355584133696248195e+00 7.850199066144338822e-01 1.724869070155026218e-01
5.373086042629896752e+00 7.784804926202829600e-01 1.701234500750742340e-01
5.390587951563544422e+00 7.705925811317838603e-01 1.667881499810790480e-01
5.408089860497192092e+00 7.618350037388141871e-01 1.627678197039224006e-01
5.425591769430839761e+00 7.526176670940131208e-01 1.583529679839242033e-01
5.443093678364487431e+00 7.432441582268279889e-01 1.537976332120452594e-01
5.460595587298135989e+00 7.338987386604368668e-01 1.492980415806494376e-01
5.478097496231783659e+00 7.246575678556900213e-01 1.449905618510672622e-01
5.495599405165431328e+00 7.155185553106065965e-01 1.409639468371892135e-01
5.513101314099078998e+00 7.064401830345374833e-01 1.372775178430339915e-01
5.530603223032727556e+00 6.973780769409186897e-01 1.339765482867830426e-01
5.548105131966375225e+00 6.883095313472512577e-01 1.310985309326865023e-01
5.565607040900022895e+00 6.792402951646524523e-01 1.286683406459442069e-01
5.583108949833670565e+00 6.701936278713240824e-01 1.266850753011539987e-01
